content_id,topic_id,content_title,summary,resources,apuntes_content,class_content
1001,101,Conceptos básicos de electricidad,"La electricidad se basa en la existencia de cargas eléctricas, su movimiento (corriente) y la diferencia de potencial (voltaje). Estos conceptos básicos permiten entender cómo funcionan los circuitos y cómo se transmiten señales a través de ellos. La resistencia, por otro lado, es la oposición al flujo de corriente. Estos tres conceptos son la base de la ingeniería eléctrica y electrónica.","[{""title"":""Conceptos de Electricidad - Wikipedia"",""url"":""https://es.wikipedia.org/wiki/Electricidad""}, {""title"":""Fundamentos de Electricidad - Schneider Electric"",""url"":""https://www.schneider-electric.es/es/faqs/FA144724/""}]",,
1002,101,Ley de Ohm,La Ley de Ohm establece que la corriente que atraviesa un conductor entre dos puntos es directamente proporcional a la diferencia de potencial entre ellos e inversamente proporcional a la resistencia. Esta relación se expresa como V=IR (Voltaje = Corriente * Resistencia). Es fundamental para analizar cualquier circuito eléctrico y prever su comportamiento bajo diferentes condiciones de carga.,"[{""title"":""Ley de Ohm - Erenovable"",""url"":""https://www.erenovable.com/ley-de-ohm/""}, {""title"":""Ley de Ohm - Wikipedia"",""url"":""https://es.wikipedia.org/wiki/Ley_de_Ohm""}]",,
1003,101,Energía y potencia eléctrica,"La potencia eléctrica se refiere a la cantidad de energía que se transfiere en un circuito por unidad de tiempo. Se mide en vatios (W) y se puede calcular como el producto de la tensión y la corriente. En los sistemas eléctricos, conocer la potencia es esencial para dimensionar correctamente los componentes del sistema y asegurar su eficiencia y seguridad.","[{""title"":""Potencia Eléctrica - Energía Hoy"",""url"":""https://energiahoy.com/potencia-electrica/""}, {""title"":""Energía y Potencia - Profesor en Línea"",""url"":""https://www.profesorenlinea.cl/fisica/Electricidad_Potencia_Electrica.htm""}]",,
1004,101,Resistencias,"Las resistencias son componentes esenciales que limitan el flujo de corriente en un circuito, protegiendo otros componentes de sobrecargas. Existen varios tipos de resistencias, desde fijas hasta variables, y su selección depende del uso específico en el circuito. Las resistencias convierten la energía eléctrica en calor, siendo fundamentales para controlar el comportamiento eléctrico en sistemas tanto domésticos como industriales.","[{""title"":""Resistencias - Erenovable"",""url"":""https://www.erenovable.com/resistencia-electrica/""}, {""title"":""Tipos de Resistencias - Ingeniería Eléctrica"",""url"":""https://www.ingelec.uns.edu.ar/resistencias/""}]",,
1005,101,Seguridad eléctrica,"La seguridad eléctrica implica una serie de medidas y precauciones necesarias para evitar accidentes como descargas eléctricas, cortocircuitos e incendios. Es importante conocer cómo manipular correctamente los dispositivos eléctricos, las normativas vigentes y el uso adecuado de herramientas de protección. También incluye la implementación de dispositivos como interruptores diferenciales y fusibles.","[{""title"":""Seguridad Eléctrica - Eroski Consumer"",""url"":""https://www.consumer.es/bricolaje/seguridad-electrica-en-el-hogar.html""}, {""title"":""Medidas de Seguridad Eléctrica - Iberdrola"",""url"":""https://www.iberdrola.com/seguridad-electrica""}]",,
1006,101,Circuitos en serie y en paralelo,"Los circuitos en serie y paralelo son las dos configuraciones básicas de conexiones eléctricas. En un circuito en serie, la corriente es la misma a través de todos los componentes, pero el voltaje se divide entre ellos. En un circuito en paralelo, todos los componentes comparten el mismo voltaje, pero la corriente se divide entre las ramas. Ambos tipos tienen aplicaciones prácticas en diferentes sistemas eléctricos, como en la iluminación doméstica.","[{""title"":""Circuitos en Serie y Paralelo - Erenovable"",""url"":""https://www.erenovable.com/circuito-en-serie-y-en-paralelo/""}, {""title"":""Circuitos Serie y Paralelo - Monografías"",""url"":""https://www.monografias.com/trabajos/circuitoserie/circuitoserie.shtml""}]",,
1007,101,Leyes de Kirchhoff,"Las Leyes de Kirchhoff son esenciales para analizar circuitos complejos. La primera ley o Ley de Corrientes establece que la suma de las corrientes que entran en un nodo es igual a la suma de las que salen. La segunda ley, o Ley de Tensiones, establece que la suma de las caídas de tensión en un circuito cerrado es igual a la suma de las tensiones suministradas. Son fundamentales para resolver circuitos con múltiples ramas.","[{""title"":""Leyes de Kirchhoff - Fisicalab"",""url"":""https://www.fisicalab.com/apartado/leyes-kirchhoff""}, {""title"":""Leyes de Kirchhoff - Wikipedia"",""url"":""https://es.wikipedia.org/wiki/Leyes_de_Kirchhoff""}]",,
1008,101,Circuitos combinados,"Los circuitos combinados mezclan componentes en serie y en paralelo. Este tipo de circuitos se encuentra en muchos sistemas eléctricos, como en la distribución de energía doméstica e industrial. Al combinar ambas configuraciones, se pueden controlar diferentes parámetros de forma más eficiente, como la distribución del voltaje y la corriente entre los dispositivos conectados.","[{""title"":""Circuitos Combinados - Monografías"",""url"":""https://www.monografias.com/trabajos/circuitocombinado/circuitocombinado.shtml""}, {""title"":""Circuitos Combinados - Profesor en Línea"",""url"":""https://www.profesorenlinea.cl/fisica/CircuitoCombinado.htm""}]",,
1009,101,Medición en circuitos de corriente continua,"En los circuitos de corriente continua, la medición de magnitudes como la corriente, el voltaje y la resistencia es fundamental para su análisis y diagnóstico. Se utilizan dispositivos como voltímetros, amperímetros y multímetros para obtener estos datos. Una correcta medición permite identificar problemas en el sistema, optimizar el diseño de circuitos y realizar mantenimiento preventivo.","[{""title"":""Medición Eléctrica - Wikipedia"",""url"":""https://es.wikipedia.org/wiki/Instrumento_de_medici%C3%B3n_el%C3%A9ctrica""}, {""title"":""Medición en Circuitos Eléctricos - Ecured"",""url"":""https://www.ecured.cu/Mediciones_el%C3%A9ctricas""}]",,
1020,102,Teoría Básica de AC,"La corriente alterna (AC) es un tipo de corriente eléctrica donde la dirección de la corriente cambia periódicamente. Es ampliamente utilizada en sistemas de potencia, ofreciendo ventajas significativas en términos de eficiencia en comparación con la corriente continua (DC).","[{""title"":""Electrónica Básica"",""url"":""https://electronicbasics.com""},{""title"":""Circuitos Eléctricos"",""url"":""https://www.circuitos-electricos.com""}]",,
1021,102,Números Complejos,"Los números complejos son fundamentales en el análisis de circuitos AC, permitiendo representar tanto la magnitud como la fase de voltajes y corrientes. Esto simplifica el análisis de circuitos en AC y la resolución de ecuaciones.","[{""title"":""Matemáticas para Ingenieros"",""url"":""https://www.matematicasingenieros.com""},{""title"":""Números Complejos"",""url"":""https://www.numeroscomplejos.com""}]",,
1022,102,Reactancia e Impedancia – Inductiva,"La reactancia inductiva es la oposición que presenta un inductor al paso de la corriente alterna, siendo dependiente de la frecuencia de la señal. La impedancia total en circuitos con inductores es la combinación de resistencia y reactancia.","[{""title"":""Electrónica y Circuitos"",""url"":""https://www.electronicaycircuitos.com""},{""title"":""Inductores y Reactancia"",""url"":""https://www.inductores.com""}]",,
1023,102,Reactancia e Impedancia – Capacitiva,"La reactancia capacitiva es la oposición que ofrece un capacitor al paso de la corriente alterna, y es inversamente proporcional a la frecuencia. Esto implica que a frecuencias altas, los capacitores permiten más corriente.","[{""title"":""Capacitores y Circuitos"",""url"":""https://www.capacitores.com""},{""title"":""Electrónica para Todos"",""url"":""https://www.electronicaparatodos.com""}]",,
1024,102,"Reactancia e Impedancia – R-L-C","El análisis de circuitos que involucran resistores, inductores y capacitores es crucial en el diseño de circuitos AC. La combinación de estos elementos forma un sistema que presenta una respuesta única a diferentes frecuencias de señal.","[{""title"":""Circuitos RLC"",""url"":""https://www.circuitosrlc.com""},{""title"":""Resistores, Inductores y Capacitores"",""url"":""https://www.ricapacitadores.com""}]",,
1025,102,Resonancia,"La resonancia en circuitos AC ocurre cuando la reactancia inductiva y capacitiva se cancelan mutuamente, resultando en una amplificación de la corriente. Este fenómeno se utiliza en diversas aplicaciones, desde radios hasta filtros de audio.","[{""title"":""Resonancia en Circuitos"",""url"":""https://www.resonancia.com""},{""title"":""Teoría de Circuitos AC"",""url"":""https://www.teoriacircuitos.com""}]",,
1026,102,Señales AC de Frecuencia Mixta,"El análisis de señales AC de frecuencia mixta implica el estudio de componentes de diferentes frecuencias en un circuito, lo que requiere herramientas matemáticas avanzadas para su análisis y comprensión.","[{""title"":""Frecuencias y Señales"",""url"":""https://www.frecuencias.com""},{""title"":""Análisis de Señales AC"",""url"":""https://www.analisisdeac.com""}]",,
1027,102,Filtros,"Los filtros en circuitos AC se utilizan para permitir el paso de ciertas frecuencias mientras bloquean otras. Son componentes clave en sistemas de audio y telecomunicaciones, mejorando la calidad de las señales.","[{""title"":""Filtros de Frecuencia"",""url"":""https://www.filtrosdefrecuencia.com""},{""title"":""Teoría de Filtros"",""url"":""https://www.teoriadefiltros.com""}]",,
1028,102,Transformadores,"Los transformadores son dispositivos que permiten cambiar los niveles de voltaje en circuitos de corriente alterna. Utilizan principios de inducción electromagnética para aumentar o disminuir el voltaje, facilitando la transmisión de energía a largas distancias.","[{""title"":""Transformadores de AC"",""url"":""https://www.transformadores.com""},{""title"":""Cómo Funcionan los Transformadores"",""url"":""https://www.funcionamientotransformadores.com""}]",,
1029,102,Circuitos AC Polifásicos,"Los circuitos polifásicos utilizan múltiples fases para suministrar energía, siendo más eficientes que los circuitos monofásicos. Son comúnmente utilizados en sistemas industriales y en la distribución de energía eléctrica.","[{""title"":""Circuitos Polifásicos"",""url"":""https://www.circuitospolifasicos.com""},{""title"":""Teoría de Circuitos Trifásicos"",""url"":""https://www.teoriadecircuittesthree.com""}]",,
1030,102,Factor de Potencia,El factor de potencia es una medida de cuán eficientemente se convierte la corriente en trabajo útil. Es crucial para optimizar el rendimiento en sistemas eléctricos y reducir pérdidas de energía.,"[{""title"":""Factor de Potencia"",""url"":""https://www.factoresdepotencia.com""},{""title"":""Eficiencia Energética"",""url"":""https://www.eficienciaenergetica.com""}]",,
1031,102,Circuitos de Medición AC,Los circuitos de medición AC se utilizan para monitorizar y evaluar el rendimiento de sistemas eléctricos. Incluyen herramientas como amperímetros y voltímetros diseñados específicamente para medir corriente alterna.,"[{""title"":""Medición de Corriente Alterna"",""url"":""https://www.mediciondeac.com""},{""title"":""Instrumentos de Medición Eléctrica"",""url"":""https://www.instrumentosdemedicion.com""}]",,
1032,102,Motores AC,"Los motores de corriente alterna son esenciales en aplicaciones industriales y domésticas. Funcionan mediante la interacción de campos magnéticos, permitiendo convertir energía eléctrica en energía mecánica de manera eficiente.","[{""title"":""Motores Eléctricos"",""url"":""https://www.motores-electricos.com""},{""title"":""Teoría de Motores AC"",""url"":""https://www.teoriademotores.com""}]",,
1033,102,Líneas de Transmisión,Las líneas de transmisión son cruciales para el transporte eficiente de energía eléctrica a largas distancias. Utilizan voltajes elevados para reducir las pérdidas de energía durante el transporte.,"[{""title"":""Líneas de Transmisión Eléctrica"",""url"":""https://www.lineastransmision.com""},{""title"":""Energía Eléctrica a Distancia"",""url"":""https://www.energiaelectricadista""}]",,